"","GS","ganancia_peso"
"1362","16",77.32
"1363","13",77.33
"1364","16",77.36
"1365","16",77.36
"1366","16",77.36
"1367","16",77.37
"1368","16",77.39
"1369","16",77.4
"1370","16",77.42
"1371","18",77.42
"1372","16",77.44
"1373","16",77.45
"1374","16",77.46
"1375","16",77.46
"1376","16",77.46
"1377","16",77.46
"1378","16",77.47
"1379","16",77.47
"1380","16",77.48
"1381","16",77.57
"1382","16",77.63
"1383","16",77.64
"1384","16",77.66
"1385","16",77.67
"1386","13",77.68
"1387","18",77.68
"1388","16",77.68
"1389","16",77.68
"1390","13",77.71
"1391","16",77.72
"1392","16",77.72
"1393","16",77.73
"1394","16",77.76
"1395","13",77.79
"1396","16",77.81
"1397","16",77.81
"1398","16",77.82
"1399","16",77.82
"1400","16",77.84
"1401","16",77.89
"1402","16",77.89
"1403","16",77.93
"1404","16",77.94
"1405","16",77.97
"1406","16",77.99
"1407","16",78
"1408","16",78.06
"1409","16",78.1
"1410","16",78.1
"1411","16",78.11
"1412","16",78.12
"1413","16",78.14
"1414","16",78.14
"1415","16",78.18
"1416","16",78.18
"1417","13",78.19
"1418","16",78.22
"1419","16",78.25
"1420","16",78.28
"1421","16",78.29
"1422","16",78.29
"1423","13",78.3
"1424","16",78.33
"1425","16",78.34
"1426","13",78.35
"1427","16",78.39
"1428","16",78.39
"1429","16",78.39
"1430","16",78.41
"1431","16",78.41
"1432","16",78.41
"1433","16",78.44
"1434","16",78.48
"1435","16",78.52
"1436","16",78.53
"1437","16",78.53
"1438","16",78.58
"1439","16",78.6
"1440","16",78.63
"1441","16",78.63
"1442","16",78.67
"1443","16",78.7
"1444","18",78.75
"1445","16",78.76
"1446","16",78.77
"1447","16",78.8
"1448","16",78.82
"1449","16",78.83
"1450","16",78.87
"1451","13",78.95
"1452","16",78.96
"1453","16",78.97
"1454","16",78.98
"1455","16",78.99
"1456","16",78.99
"1457","16",79.02
"1458","16",79.07
"1459","16",79.09
"1460","16",79.09
"1461","16",79.11
"1462","16",79.13
"1463","16",79.2
"1464","16",79.22
"1465","16",79.22
"1466","16",79.22
"1467","16",79.22
"1468","16",79.26
"1469","13",79.27
"1470","16",79.29
"1471","13",79.31
"1472","16",79.33
"1473","16",79.34
"1474","16",79.39
"1475","16",79.39
"1476","18",79.4
"1477","16",79.41
"1478","16",79.41
"1479","16",79.42
"1480","16",79.43
"1481","16",79.44
"1482","16",79.44
"1483","16",79.47
"1484","16",79.48
"1485","16",79.49
"1486","16",79.5
"1487","16",79.51
"1488","16",79.52
"1489","16",79.53
"1490","16",79.53
"1491","16",79.54
"1492","16",79.54
"1493","16",79.55
"1494","16",79.57
